key,offset,text,raw_hex,raw_bytes,category
bio_1023E1,0x1023E1,曾給予關羽正確良好的建言,bc42b3b06cc048c3f6a6d0a675aff0a67badaba661a143a662c351a764ad6eb373a4e2a7f0a8faaff0a67baec9a141b4bfb5b9a4a9c3f6a6d0a5bfbd54a87da66eaabaabd8a8a5a141a6fda5bcb351b1c4afc7a143a662b16faabec3f6a6d0a74cb1d1b351b1d9aec9a141bc59bcd3a6d3a6baa143,117,bio
bio_102457,0x102457,竣撣,b5a4e5b875,5,bio
bio_10245D,0x10245D,在曹操南下時投效曹操,a46bb6bc42aaedaabac2c2b3a1a141a662b1e4bedeab6ea455aec9a7ebaec4b1e4bedea143b4bfb867a662b1e4a541ba4db068aec9a141b4aeb1cfb1e4a541b06ba558a143,69,bio
bio_1024A9,0x1024A9,與顏良同為響噹噹的猛將,aff0a6b04bb2d0adcabfe0aabaa440a657a46ab14ea141bb50c343a87da650acb0c554beb4beb4aabab272b14ea143a6fda662a978b4e7a440bed4a4a4a141b351c3f6a6d0a9d2b1fea143,75,bio
bio_1024F5,0x1024F5,知瓣藗,aabec3a4f2cd6b,7,bio
bio_1024FD,0x1024FD,曹操因中計殺掉蔡瑁和張允,b1d1b3a672a7b5a5fda141b3afaf64a5ada543a448a141b1e4bedeaabaaa5ab14ea143a8aabec0a4a7bed4aec9a141b1e4bedea65da4a4ad70b1feb1bcbdb2b7e8a94db169a4b9a141abe1a7efaca3a4f2cd6bacb0a4f4ad78b3a3b7fea143,95,bio
bio_10255E,0x10255E,瓣孔融,c3a4a4d5bfc4,6,bio
bio_102565,0x102565,後來受袁譚攻擊而投靠曹操,f0a6b0a672a4e5c17ca141a5bbacb0a55faefca4d3a675a143a662b6c0a479b8e9a7f0a5b4abb0b070a141b16fbc42b3c6a4a7a755a6d3b8d1a8e4a64da143abe1a8d3a8fcb04bc3d3a7f0c0bba6d3a7ebbe61b1e4bedea141a6fda65dbfcfb1e4bedea6d3b351b1fea143,107,bio
bio_1025D9,0x1025D9,在曹洪與曹仁守吳郡,a143a8c351b0eab1e4a4afaabab3a1b14ea143a662b1e4ac78bb50b1e4a4afa675a764b070a141c255b3aeaec9a141a5b4c059b07db9efa7dcaa46a764a141b3ccabe1c1d9ac4fb1d1b5b9a950b7eca143,81,bio
bio_10262B,0x10262B,馬炎,a5a571b0a8aaa2,7,bio
bio_102633,0x102633,終於結束紛擾的三國亂世,a4a672a677a540a141c47ea9d3a4f7bfcba571b0a8ac4ca4a7bff2a7d3a141bf79a446c351a141abd8a5dfaecab4c2a141a8c3a75db7c0a764b0eaa141b2d7a9f3b5b2a7f4afc9c25aaabaa454b0eab6c3a540a141a440b2cea4d1a455a143,95,bio
bio_102693,0x102693,司馬昭,43a571b0a8ac4c,7,bio
bio_10269B,0x10269B,繼承將軍權位,a4a571b0a8ae76aabaa7cca7cca141a662a553aaf8a6baabe1a141c47ea9d3b14ead78c576a6eca143a5ada977a6e8b8bea141a8c3b351abcaacb0aecaa4fda143a8e4a448a66cb642b2a7b160a141a6b3a579b8dca7ceae65a147a175a571b0a8ac4ca4a7a4dfa141b8f4a448acd2aabea176a143,117,bio
bio_102711,0x102711,建司馬師,41abd8a571b0a8ae76,9,bio
bio_10271B,0x10271B,即掌控了魏國的實權,41a571b0a8c574aabaaaf8a86ba141a662a571b0a8c574a6baabe1a141a759b478b1b1a446c351b0eaaabab9eac576a141bc6fb1e4a141a6d3a5dfb1e4bbeca143abe1a8d3a6baa9f3b2b4af65b463a4c6a143,83,bio
bio_10276F,0x10276F,田豐,7ea5d0c2d7,5,bio
bio_102775,0x102775,又強力主張與曹操長期抗戰,78c576b04bb2d0aabab2c4a440b0d1bfd1a141b4bfabd8c4b3c5a7c0bbbc42b3c6a141a4a3b351b1c4afc7a146a453b16aa44fa544b169bb50b1e4bedeaaf8b4c1a7dcbed4a141b2d7a9f3c4b2abe3b04bb2d0a6d3a455babba141a662babba4a4bc7ec67ba6d3a6baa143,107,bio
bio_1027E9,0x1027E9,當他得知蔡瑁欲暗殺劉備時,e1a141a672bef7a742a141baebb371aa6babdfa141adecacb0bc42aaedaabab9f5b9b1a143bb50bc42b3c6acdbc3d1abe1a141a759a5f5bc7da8e4a4afc368a141b7eda54cb16faabebdb2b7e8b1fdb774b1febc42b3c6aec9a141a5dfa8e8a769aabebc42b3c6a141a8cfa54cb06bb94ca440a754a143a4a7abe1ab4bbbb2a6f5bc42b3c6a141b171a8c6b35ca668adabad6ea475a740a143,153,bio
bio_102889,0x102889,受孔明之命輔佐關羽治理荊州,a141a6bc42b3c6aabab9f5b9b1a141a8fca4d5a9faa4a7a952bbb2a6f5c3f6a6d0aa76b27aaff0a67ba143,43,bio
bio_1028BD,0x1028BD,諸葛亮曾在他的出師表讚美向寵才能,bc42aaa448aee6a4bda5bfa141ac4fbcf4c3d1ad78a8c6aabac075a871b14ea47ea143bdd1b8afab47b4bfa662a54caabaa558ae76aaedc667acfca656c364a47eafe0a143,69,bio
bio_102909,0x102909,孫權相當賞識他的膽識與謀略,b3c6a1a672a5f0bf70a141a764b0eaaabab3a1b14ea141a4e5aa5ac2f9a5fea143ae5dc576acdbb7edbde0c3d1a54caabac178c3d1bb50bfd1b2a4a141a662bea7b6b7a4a7bed4aec9a141bec4a44fc0bbbcecb1e4a4afb3a1b6a4a141a55cb3d2a4a3a470a143,103,bio
bio_102971,0x102971,人恩飪,a448aea6b6b96d,7,bio
bio_102979,0x102979,伐黃巾賊有功的忠臣之一,a141acb051a5efb6c0a479b8e9a6b3a55caabaa9bea6daa4a7a440a143b8b3a8f4a6baabe1a141b4bfa5f8b9cfc2f7b6a1a7f5d852a94db3a2a5c6a141a4a3a9afa5a2b1d1a143,71,bio
bio_1029C9,0x1029C9,曾與吳國名將陸遜之子陸抗在襄陽對抗為敵,aabab3a672b251a46ca141a571b0a8aaa2b3a1c4dda141a5d1a9f3aa76b27aa4baac46b16fc5e9a141bbe1a8fca5c1a4dfbed6b8fca143b4bfbb50a764b0eaa657b14eb3b0bbb9a4a7a46cb3b0a7dca662c1b8b6a7b9efa7dcacb0bcc4a143b7eda54ca568a540aec9a141bbe2a467aabaa6caa96db3a3b464b6cbb16fadfaaa5fa143,131,bio
bio_102A55,0x102A55,不幸兵敗反被殺害,a6baabadeca5bbacb0b14fae61a141a65da966acb0a65aa141a6d3b478b4a4a46ac576a143a5d1a9f3abc6a978a740b6c3a141b1fdbac9b8ddabc6a978a141a4a3a9afa74cb1d1a4cfb351b1feae60a143,81,bio
bio_102AAD,0x102AAD,曾在曹丕征吳時打敗曹休,a8fca5ae5db0edaabac2c2b3a1a141abe1c0b0a755ae5db5a6b2e6c2f7b04bb34ea143a4a7abe1ab4bb06cc048ae5db5a6a141b4bfa662b1e4a541a9baa764aec9a5b4b1d1b1e4a5f0a143,75,bio
bio_102B01,0x102B01,在曹操舉兵討伐董卓時加入曹操陣營中,aa5fa1abdca6adb44eb06cc048b1e4bedea141a662b1e4bedec17ca74cb051a5efb8b3a8f4aec9a55ba44ab1e4bedeb07dc0e7a4a4a143b4bfbb50b169bff1a142bcd6b669a4d9a74ca658d5f3a548a9daaa46a764a74cb6a4a143,91,bio
bio_102B5D,0x102B5D,堅李儒,5db0eda7f5bea7,7,bio
bio_102B65,0x102B65,在董卓被誅時亦同時被處死,a1a141b8b3a8f4aabaa46bb442a45dac4fad78ae76a141b2a6a5cdb06cc048b8b3a8f4a141bb50b8b3a8f4c170a4e2b0f5a6e6b35ca668b463a6e6a141a55dac41b1feae60a4d6abd2a142a6f3a4d3a65aa142be45b3a3aaf8a677b5a5a143a662b8b3a8f4b351b8ddaec9a5e7a650aec9b351b342a6baa143,121,bio
bio_102BDF,0x102BDF,蝘囃,e7a7f5c459,5,bio
bio_102BE5,0x102BE5,在綿竹與黃忠戰得平分秋色,bfbb50b8beb0eaab69b14ea143bc42b3c6a7f0af71a67baec9a141a662baf8a6cbbb50b6c0a9bebed4b16fa5ada4c0aceea6e2a143a662b9efc351aabab051a5efbed4a4a4a141a5d1a9f3a5c7a455bff9bb7ea453b751b1bbb9a2a141b2d7b351b653acb0a5ada5c1a143,107,bio
bio_102C51,0x102C51,行釦灅,a6e6b3a7f5d852,7,bio
bio_102C59,0x102C59,後中了楊彪之計與郭氾決裂,a6e6a1b8b3a8f4aabaa4dfb8a1b3a1b14ea141a662b8b3a8f4b351b1fea4a7abe1a141b0baa650b3a2a5c6a7e2abf9a4a4a5a1ac46c576a141bfb3adb7a740aef6a143abe1a4a4a446b7a8b343a4a7ad70bb50b3a2a5c6a84db5f5a141b351a473b8e9a9d2b1fea143,105,bio
bio_102CC9,0x102CC9,經夏侯惇引薦而為曹操重用,b16fa5adecacb0b169c2e4c2c2b3a1a141a65dbb50a448a4a3a658a6d3a558a143b867ae4cab4ab1aca4dec2cba6d3acb0b1e4bedeadaba5cea143ab69a44fb94ca448a141a8cfa8e2aa4badaba44ba451a4e7aabac54bb475a141aeb5a4a7a457b0a8a4b4b942a8cfa670adb8a143abe1b351b169c2b8a5cead70a5a2c2f9c54bb475a141a4b4a44fabf7b1cfc540b1e4bedea6d3e266a952a143,155,bio
bio_102D65,0x102D65,與釧,bb50b3a950addc,7,bio
bio_102D70,0x102D70,在關羽被擒身亡之後,adecacb0a473b8e9aabac059c059a141a6fda65db152abf4c3f6a6d0a141a6d3b06cc048a8e4a5aaa56ba141ac4fa657abdca66eaabab0c6b14ea143a662c3f6a6d0b351bee0a8ada460a4a7abe1a141a5e7a6dbb1feaeeea544a143,92,bio
bio_102DCD,0x102DCD,的觼,aabac5a950aef5,7,bio
bio_102DD5,0x102DD5,仍東衝西突地解救被包圍的孫權和徐盛,aeb5a4aa46a764a657b14ea141a8aabec0a4a7bed4abe1a141a662bea7b6b7a466a440bed4a4a4a141c1f6a6dba476a8ada8fcadabb6cba141a4b4aa46bdc4a6e8acf0a661b8d1b1cfb351a55db3f2aabaae5dc576a94dae7db2b1a141a569bba1ad5eab69b2a7b160a143,107,bio
bio_102E41,0x102E41,其巧,a8e4a5a973b946,7,bio
bio_102E49,0x102E49,在關羽危急之時卻慫恿劉封不予以支援,ac4fa6a672a46cbc79a141a662a7ebbe61bc42b3c6abe1a141bb50bc42b3c6b871a46cbc42abcaa650a675a457b165a141a662c3f6a6d0a64dabe6a4a7aec9ab6fbca3b176bc42abcaa4a3a4a9a548a4e4b4a9a141a6dca8cfc3f6a4bdb94aae60a141abe1a8d3bee1a4dfb351bb40a6d3a7ebadb0c351b0eaa143b3ccabe1a453b751a4cfab71c351a141a6fdb351a571b0a8c574a9d2b1fea143,155,bio
bio_102EE5,0x102EE5,和悟,a94daea973c0f2,7,bio
bio_102EED,0x102EED,於是孔明決定南伐平定之,a569bbab6ec65aa4fda141a65db867b160b76bc25ab8beb0eac3e4b9d2a141a9f3ac4fa4d5a9faa84da977ab6ea5efa5ada977a4a7a143b4bfb351bdd1b8afab47a443bee0a443c161a141b2d7a9f3a5b4b171a4dfa9b3abf4aa41a4d5a9faa141a6d3b8dba4dfc26bb6b6b8beb0eaa143,113,bio
bio_102F65,0x102F65,孟達共謀欲迎劉備入蜀,a141aba672a7b5aabda141a7dfadb7dc53a448a141adecacb0bc42bcfdb3a1a455a141bb50b169aa51a142a973b946a640bfd1b1fdaaefbc42b3c6a44ab8bea143b9efa5ada977ba7ea4a4a6b3a55ca141a5f4a97caed1a54fa141c540ad78b14ead78a143,101,bio
bio_102FCB,0x102FCB,帕鶳,a9acf6c646,5,bio
bio_102FD1,0x102FD1,最後被張飛斬於刀下,b4bfb3b04bb34ea4e2a455a141a8cfa440a466a454a679a44da141adaba2b4a2afa4bda4e7a141a444ac4fbb44a657aabaaa5ab14ea143a662bb50bc42b3c6a9babed4a4a4a141a94dc3f6a6d0b3e6ac44a141b5b7b240a853a6b3acc8c4dfa4a7a6e2a143b3ccabe1b351b169adb8b1d9a9f3a44da455a143,121,bio
bio_103051,0x103051,因為父親被甘寧射殺而深痛惡之,bfd1b1a672a4bdc4f2a141a65dacb0a4f7bfcbb351a5ccb9e7ae67b1fea6d3b260b568b463a4a7a143a8e2a448c1f6acb0a650b9b1a141a6fdbcc6abd7b1fdb3f8b1fea4f7a4a7a4b3a143abe1a8d3bb50c351b14ebcd6b669a740bed4aec9b3b4a44aa64dbef7a141a9afacb0a5ccb9e7a9d2b1cfa141a8e2a448a65da6b9a6d3a4c6b8d1a4b3abeba141a6a8acb0b2f6b066a143,149,bio
bio_1030F0,0x1030F0,但是因他和叔父一樣反對曹操成為魏王,a672a4bdb946a141affbd17ba4a7abbfa141a5e7bbe1b449bfd1b2a4a141b4bfacb0b1e4bedec46db94ca4a3a4d6ad70b5a6a143a6fdac4fa65da54ca94da8fba4f7a440bccba4cfb9efb1e4bedea6a8acb0c351a4fda141b2d7a9f3bcabb46ea6d3a6baa143,102,bio
bio_10315D,0x10315D,於是暗中計劃迎劉備入蜀,d4aec9a672a5c3a67ea141adeca5bbac4fbc42bcfdaabaa4e2a455a141b7edb169be7cb1fdb9cfb8bea661aec9a141b774b565a6e8a474a661b27aa4a7b9cfa141b1fda844b1cfa9f3b1e4bedea141a6fdab6fbe44b1e4bedea74eb248b9efabdda143abe1a8d3c2e0a6d3a844a9f3bc42b3c6a141b351bc42b3c6aabaa4afb871a9d2b750a141a9f3ac4fb774a4a4ad70b9baaaefbc42b3c6a44ab8bea141a4a3a9afaef8aea7a8abc553a6d3b351b1d9adbaa143,181,bio
bio_103219,0x103219,因此在孫策臨死前曾遣言,a67ea1a672a46ca5aca141b3d5bec7a6d3a668bb44aabaa764b0eabfd1a468a141bb50b169d354a8c3bad9a175a447b169a176a141bbb2a6f5ae5db5a6a143b169ac4cb260bfdaaa76b0eaa4a7b944a141a65da6b9a662ae5db5a6c17ba6baab65b4bfbbbaa8a5a175a4baac46bb50b169ac4cb0d3b671a176a143,123,bio
bio_103295,0x103295,仁萵,a4afb8b169ada8,7,bio
bio_10329D,0x10329D,在官渡之戰中倒戈向曹操,a141a9adecacb0b04bb2d0aabac2c2b3a1a141a6fdc5a5ab48b3a2b9cfa4a7a8a5a141a662a978b4e7a4a7bed4a4a4adcba4e0a656b1e4bedea143a4a7abe1a548c351b0eaa657b14ec2e0bed4a655a661a141c0f2b16fa4a3a4d6b3d3bed4a143b3ccabe1b3b4a44aa4d5a9faaabab3b4a8c0a141a662a4ecaaf9b944bed4a6baa143,131,bio
bio_103321,0x103321,臨曲,c17ba6b169ad63,7,bio
bio_103329,0x103329,在孔明北伐魏國時,bbbaa8b169adb8a4a7a46ca141b260b16fb169adb8aababff2b6c7a141ab69b272b94ca448a143bb50c3f6bfb3b5b2acb0aaf7c4f5a143a662a4d5a9faa55fa5efc351b0eaaec9a141a5e7bed4a455a4a3a4d6a55cb3d2a143,89,bio
bio_103389,0x103389,但最後聽信賣國求榮楊松的話,a548c3a672a4bdb852a141b3d0a5dfa4ada4e6a6ccb1d0a141a662ba7ea4a4abd8a5dfa976b1d0bf57a5dfb0eaa141aec9aec9c1bbbfccab6ea4e8aabaaf71a67ba143a6fdb3ccabe1c5a5ab48bde6b0eaa844ba61b7a8aa51aabab8dca141a6d3b351b1e4bedea9d2a5b4b1d1a143,111,bio
bio_1033F9,0x1033F9,的膨,aababfb169c2b8,7,bio
bio_103401,0x103401,但後來感於曹操之得而歸順,ab69b2b169c0d9a4a7abbfa141a662b169c0d9a6baabe1c47ea9d3ad78b6d5c576a44fa141b4bfa46aaf7db1e4bedea447a6b8a141b14ea4a7b3b4a44aa64dabe6a4a7a661a141a6fdabe1a8d3b750a9f3b1e4bedea4a7b16fa6d3c26bb6b6a143,97,bio
bio_103469,0x103469,憑其三寸不爛之舌終使曹操打消此一念頭,b1d0bfa672a46cbaf5a141a5e7acb0aa46a764bfd1a468a141bb50b169ac4ca8c3bad9a175a447b169a176a143b4bfa662b1e4bedeb1fda7f0a5b4a764b0eaaec9a141a558a8cfb1e4c351a141becca8e4a454a46fa4a3c4eaa4a7a6deb2d7a8cfb1e4bedea5b4aef8a6b9a440a9c0c059a143,115,bio
bio_1034E5,0x1034E5,後來堅守雒城與劉備軍對壘,af7db1b8bea4a4a657b14ea141b4bfa9f3b8a8bbf1a959ae67b1fec365b2cea143abe1a8d3b0eda675bbdcabb0bb50bc42b3c6ad78b9efc253a143b3ccabe1b351a4d5a9faa5cead70a9d2bee0a141a9e8a6baa4a3adb0a141ba42b46eb44eb871a143,99,bio
bio_103551,0x103551,他親率部下攻擊袁紹軍的本陣,b4bfa6a672a46cb747a141ac4fc351b0eaaabab67db0eaa55ca6daa4a7a440a141b7edb1e4bedeb1d1a9f3b8b3a8f4aec9a141b1e4a4afb4bfbba1a147a4d1a455a853a6b3b1e4a4afb54ca9d2bfd7a141a6fda4a3afe0a853a6b3b1e4bedea141b44ead49b5dbb1e4bedeb06ba8aba143a978b4e7a4a7bed4aec9a141a54cbfcbb276b3a1a455a7f0c0bbb04bb2d0ad78aabaa5bbb07da141b14ebed4aaa7bec9a656b3d3a751a4a7b37ea143,173,bio
bio_1035FF,0x1035FF,萵銢,b8b1e4ac78,5,bio
bio_103605,0x103605,自曹操舉兵開始便追隨曹操,47b1b1a672a46ca7b5a141ac4fb1e4bedeaabab0f3a553a7cca141a6dbb1e4bedec17ca74cb67da96cab4bb06cc048b1e4bedea141acb0b1e4bedead78b6a4a4a4aabaa440adfbb272b14ea141a7eaba74b5dba5b4a5fdbe57aabaa8a4a6e2a141a5e7ac4fb1e4bedeaabab67db0eaa55ca6daa4a7a440a143ab4fc540b1e4bedea4a3bff2be6ca44fa143,139,bio
bio_103699,0x103699,將曹爽等人全部處死,b2d0ada672c4f5adeba141b1e4e8fba9d2a5dfaabaa4d3a46ca141b1b5a8fca571b0a8c574aabaabd8a8a5a141b14eb1e4b26eb5a5a448a5feb3a1b342a6baa143,65,bio
bio_1036E1,0x1036E1,即迫逼他在走七步內立即做一首詩,c17ca7a672a46cabd8a141b1e4bedeaabab2c4a454add3a8e0a46ca141a4e5aaf6b94ca448a141b260b16fb1e4bedeaabab3dfb752a143b1e4a541a759a6ecabe1a141a759ada2b947a54ca662a8aba443a842a4baa5dfa759b0b5a440adbab8d6a141a75fab68a5dfb1d9a141a65da6d3bc67a558bb44a657befaa576a4a4a57eaabaa443a842b8d6a143,139,bio
bio_103770,0x103770,許攸,b35ca7f1,4,bio
bio_103775,0x103775,在官渡之戰中投靠曹操,71b0a8a672a46cbbb7a141adecac4fb04bb2d0aababfd1a468a141a662a978b4e7a4a7bed4a4a4a7ebbe61b1e4bedea141a6d3a46aaf7db04bb2d0a143a6fdac4fa5d1a9f3a6dbabeeb94cb0aaa141c5bab6c6a4a3a569a440a540a141b2d7b351b35cbb75a9d2b1fea143,107,bio
bio_1037E1,0x1037E1,迫郭氾,59ada2b3a2a5c6,7,bio
bio_1037E9,0x1037E9,在董卓死後與李傕一起聯兵攻向長安,62a8abb8b3a8f4aabaa4dfb8a1b3a1b14ea141a662b8b3a8f4a6baabe1bb50a7f5d852a440b05fc170a74ca7f0a656aaf8a677a141acb0b8b3a8f4b8d1b45fa4b3a143,67,bio
bio_103835,0x103835,是曹操手下有名的參謀之一,a46cbba672a95ea7b5a141ac4fb1e4bedea4e2a455a6b3a657aabab0d1bfd1a4a7a440a141b4bfc0b0a755b1e4bedea5b4b1d1a766a5aca141b9efbc42b3c6aabaa7d9a4dfabdcadaba141a8c3abd8c4b3b1e4bedead6eb658a6ada7f0a455aff0a67ba141a6fda662a5bcb9eab27bab65b44ea568a540a143,121,bio
bio_1038B5,0x1038B5,亦使待袁紹軍敗戰於官渡之戰而滅亡,a141a6a6dba96ca6dbb2d7a440aabdbbb2a6f5b5dbb04bb2d0a141a8e4a544b169b16ab577aabaa740aa6ba141b4bfabd8c4b3b04bb2d0ad6eb658a6ada5b4adcbb1e4bedea141b54da6d3a65db04bb2d0aabac075ac58b9e8c25fa141a8e4b74ea8a3a440aabda5bcb351b04bb2d0b1b5a8fca141a5e7a8cfabddb04bb2d0ad78b1d1bed4a9f3a978b4e7a4a7bed4a6d3b7c0a460a143,151,bio
bio_10394D,0x10394D,下秦祚,a455afb3afae63,7,bio
bio_103955,0x103955,有感於其奸詐冷酷而離開他,a6fda6a672a4bda578a141a662bb50b1e4bedea640a650ac79a460aec9a141a6b3b750a9f3a8e4a66cb642a74ebbc5a6d3c2f7b67da54ca143abe1a8d3a7ebbe61a766a5aca141a6a8acb0a766a5acaababfd1a468a143a8acb4bca668bfd1a141b4bfacb0a766a5acc46db35ca668a87db5a6a141a6fdb2d7a4a3b16fa8e4ab48bfe0a141b3ccabe1a662a5d5aaf9bcd3ba42b46ead75b871a143,155,bio
bio_1039F1,0x1039F1,於底秘,a9f3a9b3afb56e,7,bio
bio_103A65,0x103A65,而將徐州讓給劉備管理,a143a8a672aea5afaaa141adecacb0ae7da67ba8eba576a141a65db750bc42b3c6a4a7a4afbc77a141a6d3b14eae7da67bc5fdb5b9bc42b3c6badeb27aa143,63,bio
bio_103AA5,0x103AA5,赴葭,ad75b8b57bb4b6,7,bio
bio_103AAD,0x103AAD,原本對年少的周瑜不服,f3a9b3a672bc77bfd1a141a6dbb171b06cc048ae5db0eda4a7abe1a141a440aabdaec4a44faa46a764a143adeca5bbb9efa67ea4d6aabaa950b7eca4a3aa41a141a6fda662a8aabec0a4a7bed4abe1a141a8a3c3d1a8eca950b7ecaabaafe0a44fa141a6d3a641a454abf4aa41a8e4a455a143,115,bio
bio_103B21,0x103B21,谷費褘,43a8a6b64fe7c7,7,bio
bio_103B29,0x103B29,常擔任大使出使東吳,a141ada672a4e5b0b6a141b8beb0eaa657a6daa141b160bee1a5f4a46aa8cfa558a8cfaa46a764a141abdca8fcae5dc576aabab771adaba143,57,bio
bio_103B69,0x103B69,終於夠因曹操嫉妒而被斬首,a9b3a6b1e4bedeb162a455aabaa440a657c547a468a143a54cc059b8a3b1d3b1b6a141b260aabeb1e4bedeaabaa4dfb74ea141b4bfa65db1e4bedebba1a440a579a175c2fba6d8a176a759aabea8e4a6b3b068a74ca4a7b74ea143b1e4bedea9caa668bac3a141b2d7a9f3b0f7a65db1e4bedeb6faa7aaa6d3b351b1d9adbaa143,129,bio
bio_103BEB,0x103BEB,偶錟,b0b8ebe048,5,bio
bio_103BF1,0x103BF1,對於曹操的作戰方式非常瞭解,b0eaa6a672a4e5a94da141ac4fa657a4e5a978a141a4a3c25fa7efb4aba767a544acb0a8e4add3a448af53a6e2a143adeca5bba662b8b3a8f4a4e2a455b0b5a8c6a141abe1a453a7ebbe61b04bb2d0a143b9efa9f3b1e4bedeaabaa740bed4a4e8a6a1ab44b160c141b8d1a141a65da668a6b8c0bbb1d1b1e4bedea6d3bb44a657a143a6dba978b4e7a4a7bed4abe1a453c2e0a7ebbe61b1e4bedea143,157,bio
bio_103C95,0x103C95,在關羽被困麥城時突危到上庸搬救兵遭拒,bedeb6a672a4b8bbfca141adecacb0b6c0a479b4ddc4d2a141a7ebaec4c3f6a6d0abe1a141a440aabdbb50c3f6a6d0a675aff0a67ba143a662c3f6a6d0b351a778b3c1abb0aec9acf0a64da8eca457b165b768b1cfa74cbe44a9daa143,93,bio
bio_103CF9,0x103CF9,在劉備窮途末路時收容他,b2d0a1a672b4baa4c9a141ba7eabc7a976bfcba141aff0a67ba8eba576a141b4bfbb50b04bb2d0c4e2a4e2b9efa7dcae5db0eda143a662bc42b3c6bd61b37ea5bdb8f4aec9a6acae65a54ca141abe1a8d3a662a4babc7ea57eb6c3a455af66aa5ca143,99,bio
bio_103D65,0x103D65,當初劉備要收養他時,41a7ebbc42b3c6aabab871a46ca141b7edaaecbc42b3c6ad6ea6acbe69a54caec9a141b4bfbe44c3f6a6d0b16aa44fa4cfb9efa143a65da6d3b7edc3f6a6d0a64dabe6a4a7aec9a141a8fca973b946c661a8a5a9d2b462a141a8a3a6baa4a3b1cfa143abe1a8d3be44bc42b3c6b342a9f3a6baa644a143,119,bio
bio_103DDD,0x103DDD,鴽僂,efa7dcbc42b26a,7,bio
bio_103DE5,0x103DE5,由於施行仁政,43a662a672a767ada6a141bc42bcfdaabaa4f7bfcba143af71a67baaaaa141a5d1a9f3ac49a6e6a4afac46a141b260b16fa5c1a4dfa143,55,bio
bio_103E20,0x103E20,劉璋,bc42bcfd,4,bio
